academic_year,division,sport_code,conference_id,conference
2024,1,MBA,818,Sun Belt
2024,1,MBA,819,Summit League
2024,1,MBA,820,Atlantic 10
2024,1,MBA,821,ACC
2024,1,MBA,823,American
2024,1,MBA,826,Big South
2024,1,MBA,827,Big Ten
2024,1,MBA,837,CAA
2024,1,MBA,838,Patriot
2024,1,MBA,845,America East
2024,1,MBA,846,NEC
2024,1,MBA,865,Ivy League
2024,1,MBA,871,MAAC
2024,1,MBA,875,MAC
2024,1,MBA,881,Horizon
2024,1,MBA,884,MVC
2024,1,MBA,902,OVC
2024,1,MBA,904,Big West
2024,1,MBA,905,Pac-12
2024,1,MBA,911,SEC
2024,1,MBA,912,SoCon
2024,1,MBA,914,Southland
2024,1,MBA,916,SWAC
2024,1,MBA,920,ASUN
2024,1,MBA,922,WCC
2024,1,MBA,923,WAC
2024,1,MBA,5486,Mountain West
2024,1,MBA,24312,CUSA
2024,1,MBA,25354,Big 12
2024,1,MBA,30184,Big East
