academic_year,division,sport_code,conference_id,conference,ncaa_teams_id,team_name
2026,1,MBA,838,Patriot,614563,Bucknell
2026,1,MBA,30184,Big East,614564,Butler
2026,1,MBA,904,Big West,614565,Cal Poly
2026,1,MBA,904,Big West,614566,CSU Bakersfield
2026,1,MBA,904,Big West,614567,Cal St. Fullerton
2026,1,MBA,904,Big West,614568,Long Beach St.
2026,1,MBA,904,Big West,614569,CSUN
2026,1,MBA,923,WAC,614570,Sacramento St.
2026,1,MBA,904,Big West,614571,UC Santa Barbara
2026,1,MBA,821,ACC,614572,California
2026,1,MBA,904,Big West,614573,UC Davis
2026,1,MBA,904,Big West,614574,UC Irvine
2026,1,MBA,827,Big Ten,614575,UCLA
2026,1,MBA,904,Big West,614576,UC Riverside
2026,1,MBA,837,CAA,614577,Campbell
2026,1,MBA,871,MAAC,614578,Canisius
2026,1,MBA,846,NEC,614579,Central Conn. St.
2026,1,MBA,25354,Big 12,614580,UCF
2026,1,MBA,875,MAC,614581,Central Mich.
2026,1,MBA,25354,Big 12,614582,Cincinnati
2026,1,MBA,912,SoCon,614583,The Citadel
2026,1,MBA,821,ACC,614584,Clemson
2026,1,MBA,818,Sun Belt,614585,Coastal Carolina
2026,1,MBA,865,Ivy League,614586,Columbia
2026,1,MBA,30184,Big East,614587,UConn
2026,1,MBA,846,NEC,614588,Coppin St.
2026,1,MBA,865,Ivy League,614589,Cornell
2026,1,MBA,30184,Big East,614590,Creighton
2026,1,MBA,865,Ivy League,614591,Dartmouth
2026,1,MBA,820,Atlantic 10,614592,Davidson
2026,1,MBA,820,Atlantic 10,614593,Dayton
2026,1,MBA,846,NEC,614594,Delaware St.
2026,1,MBA,24312,CUSA,614595,Delaware
2026,1,MBA,823,American,614596,East Carolina
2026,1,MBA,912,SoCon,614597,ETSU
2026,1,MBA,902,OVC,614598,Eastern Ill.
2026,1,MBA,920,ASUN,614599,Eastern Ky.
2026,1,MBA,875,MAC,614600,Eastern Mich.
2026,1,MBA,871,MAAC,614601,Fairfield
2026,1,MBA,846,NEC,614602,FDU
2026,1,MBA,916,SWAC,614603,Florida A&amp;M
2026,1,MBA,823,American,614604,Fla. Atlantic
2026,1,MBA,24312,CUSA,614605,FIU
2026,1,MBA,821,ACC,614606,Florida St.
2026,1,MBA,911,SEC,614607,Florida
2026,1,MBA,820,Atlantic 10,614608,Fordham
2026,1,MBA,820,Atlantic 10,614609,George Mason
2026,1,MBA,820,Atlantic 10,614610,George Washington
2026,1,MBA,30184,Big East,614611,Georgetown
2026,1,MBA,818,Sun Belt,614612,Ga. Southern
2026,1,MBA,818,Sun Belt,614613,Georgia St.
2026,1,MBA,821,ACC,614614,Georgia Tech
2026,1,MBA,911,SEC,614615,Georgia
2026,1,MBA,922,WCC,614616,Gonzaga
2026,1,MBA,865,Ivy League,614617,Harvard
2026,1,MBA,904,Big West,614618,Hawaii
2026,1,MBA,837,CAA,614619,Hofstra
2026,1,MBA,838,Patriot,614620,Holy Cross
2026,1,MBA,914,Southland,614621,Houston Christian
2026,1,MBA,25354,Big 12,614622,Houston
2026,1,MBA,884,MVC,614623,Illinois St.
2026,1,MBA,827,Big Ten,614624,Illinois
2026,1,MBA,884,MVC,614625,UIC
2026,1,MBA,884,MVC,614626,Indiana St.
2026,1,MBA,827,Big Ten,614627,Indiana
2026,1,MBA,871,MAAC,614629,Iona
2026,1,MBA,827,Big Ten,614630,Iowa
2026,1,MBA,916,SWAC,614631,Jackson St.
2026,1,MBA,24312,CUSA,614632,Jacksonville St.
2026,1,MBA,920,ASUN,614633,Jacksonville
2026,1,MBA,818,Sun Belt,614634,James Madison
2026,1,MBA,25354,Big 12,614635,Kansas St.
2026,1,MBA,25354,Big 12,614636,Kansas
2026,1,MBA,875,MAC,614637,Kent St.
2026,1,MBA,911,SEC,614638,Kentucky
2026,1,MBA,838,Patriot,614639,Lafayette
2026,1,MBA,914,Southland,614640,Lamar University
2026,1,MBA,838,Patriot,614641,Lehigh
2026,1,MBA,24312,CUSA,614642,Liberty
2026,1,MBA,826,Big South,614643,Longwood
2026,1,MBA,911,SEC,614644,LSU
2026,1,MBA,24312,CUSA,614645,Louisiana Tech
2026,1,MBA,821,ACC,614646,Louisville
2026,1,MBA,845,America East,614647,UMass Lowell
2026,1,MBA,922,WCC,614648,LMU (CA)
2026,1,MBA,845,America East,614649,Maine
2026,1,MBA,871,MAAC,614650,Manhattan
2026,1,MBA,871,MAAC,614651,Marist
2026,1,MBA,818,Sun Belt,614652,Marshall
2026,1,MBA,845,America East,614653,UMBC
2026,1,MBA,827,Big Ten,614654,Maryland
2026,1,MBA,846,NEC,614655,UMES
2026,1,MBA,875,MAC,614656,Massachusetts
2026,1,MBA,914,Southland,614657,McNeese
2026,1,MBA,823,American,614658,Memphis
2026,1,MBA,912,SoCon,614659,Mercer
2026,1,MBA,875,MAC,614660,Miami (OH)
2026,1,MBA,821,ACC,614661,Miami (FL)
2026,1,MBA,827,Big Ten,614662,Michigan St.
