academic_year,team_ncaa_id,team_name_canonical,n_name_variants
2024,574153,Norfolk St.,1
2024,574154,N.C. A&T,1
2024,574155,NC State,1
2024,574156,North Dakota St.,1
2024,574157,ULM,1
2024,574158,Northeastern,1
2024,574159,Northern Colo.,1
2024,574160,NIU,1
2024,574161,Northern Ky.,1
2024,574162,Northwestern St.,1
2024,574163,Northwestern,1
2024,574164,Notre Dame,1
2024,574165,Oakland,1
2024,574166,Ohio St.,1
2024,574167,Ohio,1
2024,574168,Oklahoma St.,1
2024,574169,Oklahoma,1
2024,574170,Old Dominion,1
2024,574171,Oral Roberts,1
2024,574172,Oregon St.,1
2024,574173,Oregon,1
2024,574174,Pacific,1
2024,574175,UTRGV,1
2024,574176,Penn St.,1
2024,574177,Penn,1
2024,574178,Pepperdine,1
2024,574179,Pittsburgh,1
2024,574180,Portland,1
2024,574181,Prairie View,1
2024,574182,Princeton,1
2024,574183,Purdue,1
2024,574184,Quinnipiac,1
2024,574185,Radford,1
2024,574186,Rhode Island,1
2024,574187,Rice,1
2024,574188,Richmond,1
2024,574189,Rider,1
2024,574190,Rutgers,1
2024,574191,Sacred Heart,1
2024,574192,St. Bonaventure,1
2024,574193,St. John's (NY),1
2024,574194,Saint Joseph's,1
2024,574195,Saint Louis,1
2024,574196,Saint Mary's (CA),1
2024,574197,Saint Peter's,1
2024,574198,Sam Houston,1
2024,574199,Samford,1
2024,574200,San Diego St.,1
2024,574201,San Diego,1
2024,574202,San Francisco,1
2024,574203,San Jose St.,1
2024,574204,Santa Clara,1
2024,574205,Seton Hall,1
2024,574206,Siena,1
2024,574207,South Alabama,1
2024,574208,South Carolina,1
2024,574209,South Dakota St.,1
2024,574210,South Fla.,1
2024,574211,Southeast Mo. St.,1
2024,574212,Southeastern La.,1
2024,574213,Southern California,1
2024,574214,Southern Ill.,1
2024,574215,SIUE,1
2024,574216,Southern Miss.,1
2024,574217,Southern U.,1
2024,574218,Missouri St.,1
2024,574219,Texas St.,1
2024,574220,Louisiana,1
2024,574221,Stanford,1
2024,574222,SFA,1
2024,574223,Stetson,1
2024,574224,Stony Brook,1
2024,574225,Tennessee Tech,1
2024,574226,Tennessee,1
2024,574227,UT Martin,1
2024,574228,Bellarmine,1
2024,574229,UC San Diego,1
2024,574230,Lindenwood,1
2024,574231,Queens (NC),1
2024,574232,Southern Ind.,1
2024,574233,Stonehill,1
2024,574253,Northwest Nazarene,1
2024,574260,Saint Martin's,1
2024,574266,Tiffin,1
2024,574274,Hawaii Pacific,1
2024,574275,Hawaii Hilo,1
2024,574276,CSU Pueblo,1
2024,574389,Clarion,1
2024,574412,Le Moyne,1
2024,574444,Rollins,1
2024,574445,Saginaw Valley,1
2024,574457,Tuskegee,1
2024,574460,Virginia St.,1
2024,574466,Wis.-Parkside,1
2024,574471,Bluefield St.,1
2024,574497,North Park,1
2024,574512,Pomona-Pitzer,1
2024,574537,St. Olaf,1
2024,574624,Husson,1
2024,574638,Cairn,1
2024,574677,MSOE,1
2024,574741,Blackburn,1
2024,574776,DePauw,1
2024,574832,Loras,1
2024,574836,Me.-Farmington,1
2024,583094,Chaminade,1
