academic_year,division,sport_code,conference_id,conference,ncaa_teams_id,team_name
2025,1,MBA,823,American,596543,Fla. Atlantic
2025,1,MBA,24312,CUSA,596544,FIU
2025,1,MBA,821,ACC,596545,Florida St.
2025,1,MBA,911,SEC,596546,Florida
2025,1,MBA,820,Atlantic 10,596547,Fordham
2025,1,MBA,820,Atlantic 10,596548,George Mason
2025,1,MBA,820,Atlantic 10,596549,George Washington
2025,1,MBA,30184,Big East,596550,Georgetown
2025,1,MBA,818,Sun Belt,596551,Ga. Southern
2025,1,MBA,818,Sun Belt,596552,Georgia St.
2025,1,MBA,821,ACC,596553,Georgia Tech
2025,1,MBA,911,SEC,596554,Georgia
2025,1,MBA,922,WCC,596555,Gonzaga
2025,1,MBA,865,Ivy League,596556,Harvard
2025,1,MBA,904,Big West,596557,Hawaii
2025,1,MBA,837,CAA,596558,Hofstra
2025,1,MBA,838,Patriot,596559,Holy Cross
2025,1,MBA,914,Southland,596560,Houston Christian
2025,1,MBA,25354,Big 12,596561,Houston
2025,1,MBA,884,MVC,596562,Illinois St.
2025,1,MBA,827,Big Ten,596563,Illinois
2025,1,MBA,884,MVC,596564,UIC
2025,1,MBA,884,MVC,596565,Indiana St.
2025,1,MBA,827,Big Ten,596566,Indiana
2025,1,MBA,881,Horizon,596567,Purdue Fort Wayne
2025,1,MBA,871,MAAC,596568,Iona
2025,1,MBA,827,Big Ten,596569,Iowa
2025,1,MBA,916,SWAC,596570,Jackson St.
2025,1,MBA,24312,CUSA,596571,Jacksonville St.
2025,1,MBA,920,ASUN,596572,Jacksonville
2025,1,MBA,818,Sun Belt,596573,James Madison
2025,1,MBA,25354,Big 12,596574,Kansas St.
2025,1,MBA,25354,Big 12,596575,Kansas
2025,1,MBA,875,MAC,596576,Kent St.
2025,1,MBA,911,SEC,596577,Kentucky
2025,1,MBA,838,Patriot,596578,Lafayette
2025,1,MBA,914,Southland,596579,Lamar University
2025,1,MBA,838,Patriot,596580,Lehigh
2025,1,MBA,24312,CUSA,596581,Liberty
2025,1,MBA,826,Big South,596582,Longwood
2025,1,MBA,911,SEC,596583,LSU
2025,1,MBA,24312,CUSA,596584,Louisiana Tech
2025,1,MBA,821,ACC,596585,Louisville
2025,1,MBA,845,America East,596586,UMass Lowell
2025,1,MBA,922,WCC,596587,LMU (CA)
2025,1,MBA,845,America East,596588,Maine
2025,1,MBA,871,MAAC,596589,Manhattan
2025,1,MBA,871,MAAC,596590,Marist
2025,1,MBA,818,Sun Belt,596591,Marshall
2025,1,MBA,845,America East,596592,UMBC
2025,1,MBA,827,Big Ten,596593,Maryland
2025,1,MBA,846,NEC,596594,UMES
2025,1,MBA,820,Atlantic 10,596595,Massachusetts
2025,1,MBA,914,Southland,596596,McNeese
2025,1,MBA,823,American,596597,Memphis
2025,1,MBA,912,SoCon,596598,Mercer
2025,1,MBA,875,MAC,596599,Miami (OH)
2025,1,MBA,821,ACC,596600,Miami (FL)
2025,1,MBA,827,Big Ten,596601,Michigan St.
2025,1,MBA,827,Big Ten,596602,Michigan
2025,1,MBA,24312,CUSA,596603,Middle Tenn.
2025,1,MBA,827,Big Ten,596604,Minnesota
2025,1,MBA,911,SEC,596605,Mississippi St.
2025,1,MBA,916,SWAC,596606,Mississippi Val.
2025,1,MBA,911,SEC,596607,Ole Miss
2025,1,MBA,911,SEC,596608,Missouri
2025,1,MBA,837,CAA,596609,Monmouth
2025,1,MBA,902,OVC,596610,Morehead St.
2025,1,MBA,871,MAAC,596611,Mount St. Mary&#39;s
2025,1,MBA,884,MVC,596612,Murray St.
2025,1,MBA,826,Big South,596613,UNC Asheville
2025,1,MBA,821,ACC,596614,North Carolina
2025,1,MBA,823,American,596615,Charlotte
2025,1,MBA,912,SoCon,596616,UNC Greensboro
2025,1,MBA,837,CAA,596617,UNCW
2025,1,MBA,819,Summit League,596618,Omaha
2025,1,MBA,5486,Mountain West,596619,UNLV
2025,1,MBA,5486,Mountain West,596620,Nevada
2025,1,MBA,845,America East,596621,NJIT
2025,1,MBA,24312,CUSA,596622,New Mexico St.
2025,1,MBA,5486,Mountain West,596623,New Mexico
2025,1,MBA,914,Southland,596624,New Orleans
2025,1,MBA,871,MAAC,596625,Niagara
2025,1,MBA,846,NEC,596626,Norfolk St.
2025,1,MBA,837,CAA,596627,N.C. A&amp;T
2025,1,MBA,821,ACC,596628,NC State
2025,1,MBA,819,Summit League,596629,North Dakota St.
2025,1,MBA,818,Sun Belt,596630,ULM
2025,1,MBA,837,CAA,596631,Northeastern
2025,1,MBA,819,Summit League,596632,Northern Colo.
2025,1,MBA,875,MAC,596633,NIU
2025,1,MBA,881,Horizon,596634,Northern Ky.
2025,1,MBA,914,Southland,596635,Northwestern St.
2025,1,MBA,827,Big Ten,596636,Northwestern
2025,1,MBA,821,ACC,596637,Notre Dame
2025,1,MBA,881,Horizon,596638,Oakland
2025,1,MBA,827,Big Ten,596639,Ohio St.
2025,1,MBA,875,MAC,596640,Ohio
2025,1,MBA,911,SEC,596641,Oklahoma
2025,1,MBA,818,Sun Belt,596642,Old Dominion
2025,1,MBA,99000,DI Independent,596643,Oregon St.
2025,1,MBA,827,Big Ten,596644,Oregon
2025,1,MBA,922,WCC,596645,Pacific
2025,1,MBA,914,Southland,596646,UTRGV
2025,1,MBA,827,Big Ten,596647,Penn St.
2025,1,MBA,922,WCC,596648,Pepperdine
2025,1,MBA,821,ACC,596649,Pittsburgh
2025,1,MBA,922,WCC,596650,Portland
2025,1,MBA,916,SWAC,596651,Prairie View
2025,1,MBA,865,Ivy League,596652,Princeton
2025,1,MBA,827,Big Ten,596653,Purdue
2025,1,MBA,871,MAAC,596654,Quinnipiac
2025,1,MBA,826,Big South,596655,Radford
2025,1,MBA,820,Atlantic 10,596656,Rhode Island
2025,1,MBA,823,American,596657,Rice
2025,1,MBA,820,Atlantic 10,596658,Richmond
2025,1,MBA,871,MAAC,596659,Rider
2025,1,MBA,827,Big Ten,596660,Rutgers
2025,1,MBA,871,MAAC,596661,Sacred Heart
2025,1,MBA,820,Atlantic 10,596662,St. Bonaventure
2025,1,MBA,820,Atlantic 10,596663,Saint Joseph&#39;s
2025,1,MBA,820,Atlantic 10,596664,Saint Louis
2025,1,MBA,922,WCC,596665,Saint Mary&#39;s (CA)
2025,1,MBA,871,MAAC,596666,Saint Peter&#39;s
2025,1,MBA,24312,CUSA,596667,Sam Houston
2025,1,MBA,912,SoCon,596668,Samford
2025,1,MBA,5486,Mountain West,596669,San Diego St.
2025,1,MBA,922,WCC,596670,San Diego
2025,1,MBA,922,WCC,596671,San Francisco
2025,1,MBA,5486,Mountain West,596672,San Jose St.
2025,1,MBA,922,WCC,596673,Santa Clara
2025,1,MBA,30184,Big East,596674,Seton Hall
2025,1,MBA,871,MAAC,596675,Siena
2025,1,MBA,818,Sun Belt,596676,South Alabama
2025,1,MBA,911,SEC,596677,South Carolina
2025,1,MBA,819,Summit League,596678,South Dakota St.
2025,1,MBA,823,American,596679,South Fla.
2025,1,MBA,914,Southland,596680,Southeastern La.
2025,1,MBA,827,Big Ten,596681,Southern California
2025,1,MBA,884,MVC,596682,Southern Ill.
2025,1,MBA,902,OVC,596683,SIUE
2025,1,MBA,916,SWAC,596684,Southern U.
2025,1,MBA,884,MVC,596685,Missouri St.
2025,1,MBA,818,Sun Belt,596686,Texas St.
2025,1,MBA,818,Sun Belt,596687,Louisiana
2025,1,MBA,821,ACC,596688,Stanford
2025,1,MBA,914,Southland,596689,SFA
2025,1,MBA,837,CAA,596690,Stony Brook
2025,1,MBA,902,OVC,596691,Tennessee Tech
2025,1,MBA,902,OVC,596692,UT Martin
2025,1,MBA,920,ASUN,596693,Bellarmine
2025,1,MBA,904,Big West,596694,UC San Diego
2025,1,MBA,902,OVC,596695,Lindenwood
2025,1,MBA,920,ASUN,596696,Queens (NC)
2025,1,MBA,902,OVC,596697,Southern Ind.
2025,1,MBA,846,NEC,596698,Stonehill
2025,1,MBA,846,NEC,596699,Le Moyne
2025,1,MBA,923,WAC,596700,Tarleton St.
2025,1,MBA,823,American,596701,Tulane
2025,1,MBA,838,Patriot,596702,Army West Point
2025,1,MBA,24312,CUSA,596703,DBU
2025,1,MBA,912,SoCon,596704,Wofford
2025,1,MBA,826,Big South,596705,High Point
2025,1,MBA,25354,Big 12,596706,Arizona
2025,1,MBA,5486,Mountain West,596707,Fresno St.
2025,1,MBA,821,ACC,596708,Duke
2025,1,MBA,884,MVC,596709,Evansville
2025,1,MBA,916,SWAC,596710,Grambling
2025,1,MBA,846,NEC,596711,LIU
2025,1,MBA,827,Big Ten,596712,Nebraska
2025,1,MBA,914,Southland,596713,Nicholls
2025,1,MBA,25354,Big 12,596714,Oklahoma St.
2025,1,MBA,819,Summit League,596715,Oral Roberts
2025,1,MBA,865,Ivy League,596716,Penn
2025,1,MBA,30184,Big East,596717,St. John&#39;s (NY)
2025,1,MBA,902,OVC,596718,Southeast Mo. St.
2025,1,MBA,818,Sun Belt,596719,Southern Miss.
2025,1,MBA,920,ASUN,596720,Stetson
2025,1,MBA,911,SEC,596721,Tennessee
2025,1,MBA,846,NEC,596906,Mercyhurst
2025,1,MBA,920,ASUN,596947,West Ga.
