player_name,canonical_id,pitcher_idx,espn_id,throws,bats,position,source
Landon Hood,BSB_GONZAGA,4780,,R,,SP,pitcher_table
Jake Marciano,BSB_AUBURN,4779,,L,,SP,pitcher_table
LOY,BSB_GEORGIA_TECH,4778,,,,SP,pitcher_table
Javyn Pimental,NCAA_614746,4777,,,,SP,pitcher_table
Preston Prince,NCAA_614605,4776,96789,,,SP,pitcher_table
Ty Madison,NCAA_614739,4775,,,,SP,pitcher_table
Heer,NCAA_614737,4774,,R,,SP,pitcher_table
Liam O'Leary,NCAA_614778,4773,99067,,,SP,pitcher_table
Jack Pineau,NCAA_614590,4772,,,,SP,pitcher_table
Todd,NCAA_614706,4771,,R,,SP,pitcher_table
Montgomery,BSB_MICHIGAN,4770,,R,,SP,pitcher_table
Isaiah Magdaleno,NCAA_614618,4769,,,,SP,pitcher_table
Mogen,NCAA_614684,4768,,,,SP,pitcher_table
Brady Pendley,NCAA_614612,4767,,,,RP,pitcher_table
Michael Yusypchuk,NCAA_614746,4766,,R,,SP,pitcher_table
Aidan Donovan,NCAA_614662,4765,,,,SP,pitcher_table
Raymond LADD,NCAA_614716,4764,,,,SP,pitcher_table
Alex Day,NCAA_614694,4763,,R,,RP,pitcher_table
Calveric,NCAA_614818,4762,,,,SP,pitcher_table
Carlos Martinez,NCAA_614619,4761,,,,SP,pitcher_table
Patterson,NCAA_614843,4760,,,,SP,pitcher_table
Jake Thomas,NCAA_614564,4759,,R,,RP,pitcher_table
J Radel,BSB_NOTRE_DAME,4758,,R,,SP,pitcher_table
Dakota Stone,NCAA_614835,4757,,,,SP,pitcher_table
Kellen Davis,NCAA_614703,4756,,,,RP,pitcher_table
Cole Van assen,BSB_PURDUE,4755,,R,,SP,pitcher_table
JB WILLIAMS,NCAA_614825,4754,,,,SP,pitcher_table
Miller,NCAA_614671,4753,,,,SP,pitcher_table
W. Sword,NCAA_614713,4752,,R,,SP,pitcher_table
Bleeker,BSB_IOWA,4751,,R,,RP,pitcher_table
Clint Lafferty,NCAA_614667,4750,,,,RP,pitcher_table
Jackson Flor,BSB_UC_SANTA_BARBARA,4749,,,,SP,pitcher_table
Eddie Sargent,NCAA_614653,4748,,,,SP,pitcher_table
Franco Samue,NCAA_614826,4747,,,,SP,pitcher_table
Joey Tuttoilmondo,NCAA_614796,4746,,,,RP,pitcher_table
M. Hall,NCAA_614674,4745,,,,RP,pitcher_table
Erik Hoffberg,BSB_GONZAGA,4744,,R,,SP,pitcher_table
Westmorelan,NCAA_614856,4743,,,,SP,pitcher_table
Preston Prin,NCAA_614605,4742,,,,SP,pitcher_table
James,NCAA_614723,4741,,,,SP,pitcher_table
Bobby Spencer,NCAA_614745,4740,,,,SP,pitcher_table
Matthew Eagen,NCAA_614757,4739,,,,SP,pitcher_table
Joseph Ruller,NCAA_614757,4738,,,,SP,pitcher_table
Reuben Malamed,NCAA_614686,4737,,,,SP,pitcher_table
Ryan Brown,NCAA_621265,4736,,,,SP,pitcher_table
Albright,NCAA_614652,4735,,L,,SP,pitcher_table
Drew Politte,NCAA_614866,4734,,,,RP,pitcher_table
Ty Zahradnik,NCAA_614792,4733,97289,,,SP,pitcher_table
Blaine Albright,NCAA_614652,4732,96581,L,,SP,pitcher_table
Alec Murray,NCAA_614608,4731,,R,,RP,pitcher_table
David McSweeney,NCAA_614692,4730,,L,,RP,pitcher_table
Zahradnik,NCAA_614792,4729,,,,SP,pitcher_table
Thomas,NCAA_614827,4727,,,,RP,pitcher_table
Vasiliou,NCAA_614822,4726,,,,SP,pitcher_table
Jason Kuhn,NCAA_614735,4725,,,,SP,pitcher_table
Kelvin BattlesII,NCAA_614712,4724,,,,RP,pitcher_table
Rylance,NCAA_614739,4723,,,,SP,pitcher_table
G Brabec,BSB_GONZAGA,4722,,R,,SP,pitcher_table
Moreno,NCAA_614706,4721,,R,,SP,pitcher_table
Evan Vasiliou,NCAA_614822,4720,95707,,,SP,pitcher_table
Van Larson,NCAA_614568,4719,92709,,,SP,pitcher_table
Cade Castles,NCAA_614574,4718,98126,R,,SP,pitcher_table
Carson Taylor,NCAA_614805,4717,,,,RP,pitcher_table
Tucker Holland,NCAA_614677,4716,,,,SP,pitcher_table
Baron Mannis,NCAA_614845,4715,,,,SP,pitcher_table
Cory Pascarella,NCAA_614670,4714,,,,SP,pitcher_table
Gavin Hudson,NCAA_614594,4713,,,,SP,pitcher_table
Braden Pomponi,NCAA_614639,4712,,L,,RP,pitcher_table
Jack Ruditzky,NCAA_614720,4711,,,,SP,pitcher_table
Broderick Zach,NCAA_614826,4710,,,,SP,pitcher_table
Ethan Bauerschmidt,NCAA_614708,4709,,R,,SP,pitcher_table
Elliot Eaton,NCAA_614713,4708,,R,,RP,pitcher_table
Lucas Valencia,NCAA_614667,4707,,,,RP,pitcher_table
Tristan McGregor,NCAA_614832,4706,,,,SP,pitcher_table
Easton Bobb,NCAA_614785,4705,98829,,,SP,pitcher_table
Sandford,NCAA_614841,4704,,,,RP,pitcher_table
J Greeley,NCAA_614662,4703,,,,RP,pitcher_table
Karsten Stot,NCAA_614814,4702,,,,RP,pitcher_table
Sean Connolly,NCAA_614759,4701,,,,SP,pitcher_table
Michael Fliss,NCAA_614795,4700,,,,SP,pitcher_table
Ian Brown,NCAA_614799,4699,,L,,SP,pitcher_table
Jackson,NCAA_614652,4698,,R,,SP,pitcher_table
Kieinser Chris,NCAA_614826,4697,,,,RP,pitcher_table
McGill,NCAA_614671,4696,,,,SP,pitcher_table
Bailey Matela,NCAA_614703,4695,,,,RP,pitcher_table
T GRAYDON,NCAA_614829,4694,,R,,SP,pitcher_table
Aidan Terron,NCAA_614625,4693,,,,SP,pitcher_table
Car Cormier,NCAA_614623,4692,,,,SP,pitcher_table
Arnav Ghuliani,NCAA_614650,4691,,,,SP,pitcher_table
Kaden Kimble,NCAA_614672,4690,,,,SP,pitcher_table
Onorato,NCAA_614629,4689,,R,,RP,pitcher_table
B. Conner,NCAA_614849,4688,,R,,RP,pitcher_table
Carter Degondea,NCAA_614612,4687,92334,,,SP,pitcher_table
Lawson Stricklin,NCAA_614752,4686,66443,,,SP,pitcher_table
John Abraham,NCAA_614606,4685,90302,,,RP,pitcher_table
Noah O'Farrell,NCAA_614750,4684,98958,,,SP,pitcher_table
Peyton Jackson,NCAA_614652,4683,96605,R,,SP,pitcher_table
Chase Cartron,NCAA_614797,4682,87171,,,SP,pitcher_table
Gray,NCAA_614765,4681,,,,SP,pitcher_table
Jesse Kostulious,NCAA_615065,4680,,,,RP,pitcher_table
Abraham,NCAA_614606,4679,,,,RP,pitcher_table
Jacob Belecky,NCAA_614715,4678,,,,RP,pitcher_table
Hector Alejandro,NCAA_614722,4677,,R,,RP,pitcher_table
D. Kane,NCAA_614720,4676,,,,SP,pitcher_table
Parker Thoma,NCAA_614609,4675,,,,RP,pitcher_table
Holmstrom,NCAA_614821,4674,,,,SP,pitcher_table
Kole Turner,NCAA_614854,4673,,,,RP,pitcher_table
