event_id,game_date,season,home_canonical_id,away_canonical_id,home_pitcher_espn_id,away_pitcher_espn_id,home_run_1,home_run_2,home_run_3,home_run_4,away_run_1,away_run_2,away_run_3,away_run_4,home_score,away_score
401625212,2024-04-21,2024,BSB_NOTRE_DAME,BSB_BOSTON_COLLEGE,70495,69989,5,2,0,1,0,0,0,0,13,0
401632622,2024-04-21,2024,NCAA_614661,BSB_LOUISVILLE,77461,46701,7,2,2,0,1,2,0,0,17,5
401628155,2024-04-21,2024,NCAA_614666,BSB_AUBURN,65203,65349,3,0,0,0,1,0,0,0,3,1
401633705,2024-04-21,2024,BSB_BAYLOR,BSB_KANSAS,78028,79954,0,1,0,0,8,0,0,1,2,12
401655817,2024-04-21,2024,NCAA_614666,BSB_AUBURN,54365,77426,2,1,0,0,3,0,0,0,4,3
401627988,2024-04-23,2024,BSB_ARKANSAS,NCAA_614834,66068,82320,5,3,0,0,1,0,0,0,11,1
401632271,2024-04-23,2024,BSB_TENNESSEE,NCAA_614813,77692,82288,2,2,2,0,4,0,0,0,12,4
401628285,2024-04-23,2024,BSB_GEORGIA,BSB_CLEMSON,77096,57149,4,0,0,0,0,0,1,0,4,3
401628736,2024-04-23,2024,BSB_ALABAMA,NCAA_614729,77268,73242,2,6,0,0,2,0,1,0,14,5
401632211,2024-04-23,2024,BSB_OLE_MISS,NCAA_614843,65739,82261,4,1,1,0,1,0,1,0,9,4
401628156,2024-04-23,2024,BSB_AUBURN,NCAA_614603,55111,68576,6,1,1,0,1,0,0,0,11,1
401632623,2024-04-23,2024,BSB_LOUISVILLE,NCAA_614815,64885,79560,7,1,1,1,3,1,0,0,16,5
401633582,2024-04-23,2024,NCAA_614661,NCAA_614604,66152,69982,2,0,1,0,2,0,0,0,5,2
401628213,2024-04-23,2024,BSB_FLORIDA,NCAA_614781,65678,49064,5,4,0,0,3,0,0,0,13,3
401633530,2024-04-23,2024,NCAA_614635,NCAA_614679,78527,82355,2,2,0,0,4,0,0,0,6,4
401633067,2024-04-23,2024,BSB_TCU,NCAA_614764,57007,80310,3,1,0,0,0,1,0,0,5,2
401633706,2024-04-23,2024,BSB_BAYLOR,NCAA_614728,67373,82371,7,1,0,0,3,0,0,0,9,3
401632391,2024-04-23,2024,BSB_LSU,NCAA_614774,77067,47882,6,0,1,0,0,0,0,0,9,0
401633616,2024-04-24,2024,BSB_NOTRE_DAME,NCAA_614581,80381,72824,0,0,0,0,2,0,0,0,0,2
401628820,2024-04-25,2024,BSB_TENNESSEE,BSB_MISSOURI,77701,77640,4,0,2,0,1,0,0,0,10,1
401628737,2024-04-25,2024,BSB_OLE_MISS,BSB_ALABAMA,54857,77251,0,0,0,0,4,1,2,0,0,12
401628286,2024-04-26,2024,NCAA_614788,BSB_GEORGIA,54758,64926,0,0,0,1,0,1,0,0,5,2
401627989,2024-04-26,2024,BSB_ARKANSAS,BSB_FLORIDA,59632,54614,2,0,0,0,1,0,0,0,2,1
401628821,2024-04-26,2024,BSB_TENNESSEE,BSB_MISSOURI,59934,65942,1,1,0,0,0,1,0,0,3,2
401632237,2024-04-26,2024,BSB_SOUTH_CAROLINA,BSB_KENTUCKY,57799,77665,4,0,0,0,3,1,0,0,6,5
401627885,2024-04-26,2024,BSB_LOUISVILLE,BSB_CLEMSON,78120,65885,2,2,0,1,8,2,0,0,11,12
401632657,2024-04-26,2024,BSB_NOTRE_DAME,BSB_WAKE_FOREST,50610,81231,1,1,0,0,2,1,0,0,3,4
401633115,2024-04-27,2024,NCAA_614704,BSB_OREGON,78940,82451,2,0,0,0,0,0,0,0,2,0
401632692,2024-04-26,2024,BSB_NC_STATE,NCAA_614859,33134,82426,6,0,0,1,2,0,0,0,10,2
401628738,2024-04-26,2024,BSB_OLE_MISS,BSB_ALABAMA,77586,54511,5,2,0,0,5,0,1,0,9,8
401632575,2024-04-26,2024,BSB_GEORGIA_TECH,NCAA_614661,57344,57462,2,1,0,0,2,2,0,0,4,6
401633707,2024-04-26,2024,BSB_WEST_VIRGINIA,BSB_BAYLOR,81331,57524,4,3,1,1,3,1,0,0,18,5
401633297,2024-04-26,2024,BSB_KANSAS,BSB_TEXAS_TECH,79953,69455,4,0,0,0,1,1,0,0,4,3
