academic_year,division,sport_code,conference_id,conference,ncaa_teams_id,team_name
2024,1,MBA,819,Summit League,573909,St. Thomas (MN)
2024,1,MBA,818,Sun Belt,573922,Troy
2024,1,MBA,818,Sun Belt,574002,App State
2024,1,MBA,818,Sun Belt,574005,Arkansas St.
2024,1,MBA,818,Sun Belt,574044,Coastal Carolina
2024,1,MBA,818,Sun Belt,574073,Ga. Southern
2024,1,MBA,818,Sun Belt,574074,Georgia St.
2024,1,MBA,818,Sun Belt,574097,James Madison
2024,1,MBA,818,Sun Belt,574116,Marshall
2024,1,MBA,819,Summit League,574144,Omaha
2024,1,MBA,819,Summit League,574156,North Dakota St.
2024,1,MBA,818,Sun Belt,574157,ULM
2024,1,MBA,819,Summit League,574159,Northern Colo.
2024,1,MBA,818,Sun Belt,574170,Old Dominion
2024,1,MBA,819,Summit League,574171,Oral Roberts
2024,1,MBA,818,Sun Belt,574207,South Alabama
2024,1,MBA,819,Summit League,574209,South Dakota St.
2024,1,MBA,818,Sun Belt,574216,Southern Miss.
2024,1,MBA,818,Sun Belt,574219,Texas St.
2024,1,MBA,818,Sun Belt,574220,Louisiana
